ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,passengers,months_reported,flightsmart_score_v2,recommendation_band,data_confidence,gateway_score_100,carrier_score_100,service_consistency_score_100,passenger_evidence_score_100,airport_2025_score_100,chronic_risk_score_100,on_time_departure_pct,on_time_arrival_pct,gateway_cancellation_pct,carrier_cancellation_pct,rank_2025,on_time_pct_2025,reason_en,reason_ja
SJC,"San Jose, CA",NRT,"Tokyo, Japan",ZG,ZIPAIR Tokyo Inc.,11128,4,69.7,FAIR,MEDIUM,92.4,,80.0,0.7,,100.0,83.44,,0.71,,,,"Supported by strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SAN,"San Diego, CA",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,16203,5,66.6,FAIR,HIGH,70.6,,100.0,23.4,46.9,78.3,76.74,,1.1,,22.0,74.38,"Supported by consistent scheduled service across all five reported months, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
BOS,"Boston, MA",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,24192,5,65.7,FAIR,HIGH,57.9,,100.0,47.6,37.9,85.0,75.87,,3.53,,27.0,72.58,"Supported by consistent scheduled service across all five reported months, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
HNL,"Honolulu, HI",NRT,"Tokyo, Japan",ZG,ZIPAIR Tokyo Inc.,9426,4,64.9,FAIR,MEDIUM,81.4,,80.0,0.0,,100.0,80.54,,1.26,,,,"Supported by strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SFO,"San Francisco, CA",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,19940,4,63.0,LIMITED,HIGH,67.9,,80.0,35.9,50.2,72.4,75.95,,1.2,,19.0,75.05,"Supported by available historical route and airport evidence. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：利用可能な過去の路線・空港実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
DFW,"Dallas/Fort Worth, TX",NRT,"Tokyo, Japan",AA,American Airlines Inc.,32964,5,61.9,LIMITED,VERY_HIGH,40.4,56.9,100.0,66.3,38.8,91.4,70.23,76.73,3.66,3.0,26.0,72.75,"Supported by consistent scheduled service across all five reported months, lower chronic-delay signal at the gateway.",主な根拠：5か月すべてで継続した定期運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。
ORD,"Chicago, IL",NRT,"Tokyo, Japan",NH,All Nippon Airways Co.,27059,5,61.6,LIMITED,HIGH,46.2,,100.0,54.3,39.8,66.0,71.3,,3.04,,25.0,72.95,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
ORD,"Chicago, IL",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,25279,5,60.9,LIMITED,HIGH,46.2,,100.0,50.2,39.8,66.0,71.3,,3.04,,25.0,72.95,"Supported by consistent scheduled service across all five reported months. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：5か月すべてで継続した定期運航実績。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
SPN,"Saipan, TT",NRT,"Tokyo, Japan",UA,United Air Lines Inc.,5269,4,56.9,LIMITED,MEDIUM,62.9,81.7,80.0,0.0,,0.0,78.15,81.47,3.97,1.24,,,Supported by strong recent U.S. carrier reliability.,主な根拠：米国国内データで確認できる航空会社の良好な定時運航実績。
HNL,"Honolulu, HI",NRT,"Tokyo, Japan",JL,Japan Air Lines Co. Ltd.,10788,2,53.4,LIMITED,MEDIUM,81.4,,40.0,0.0,,100.0,80.54,,1.26,,,,"Supported by strong recent U.S. gateway performance, lower chronic-delay signal at the gateway. Carrier-specific U.S. on-time evidence is unavailable for this carrier, so the score is reweighted rather than penalized.",主な根拠：米国出発空港の良好な直近運航実績、出発空港での慢性的な遅延シグナルが比較的低いこと。 この航空会社について同等の米国国内定時運航データがないため、減点せず利用可能な指標で重みを再調整しています。
